1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.111020	-0.111020	-0.233099	0.000000	1.593018	0.447737	1.625447	0.020499	2.2	1.3	223.3
1	-0.111006	-0.111006	-0.215523	0.000000	1.593018	0.322447	1.451091	0.017008	2.4	1.6	8.5
2	-0.122747	-0.122747	-0.225856	0.000000	1.593018	0.532307	1.517132	0.020004	2.4	1.5	8.8
3	-0.118504	-0.118504	-0.216699	0.364423	1.565846	0.687508	1.223577	0.029596	5.5	1.5	12.4
4	-0.121293	-0.121293	-0.237811	0.000000	1.593018	0.651398	1.179079	0.027441	2.5	1.6	9.3
5	-0.124926	-0.124926	-0.210127	0.000000	1.593018	0.672112	2.008785	0.032072	2.6	2.2	11.9
6	-0.131026	-0.131026	-0.236178	0.000000	1.593018	0.933754	1.574680	0.037991	4.8	1.5	11.9
7	-0.107720	-0.107720	-0.211043	1.000000	1.520609	0.638293	1.821813	0.029584	2.6	1.6	9.5
8	-0.127837	-0.127837	-0.250839	1.999423	1.454532	0.375352	1.624999	0.035237	2.8	1.5	7.4
9	-0.113906	-0.113906	-0.206920	1.359320	1.496172	0.406021	1.423396	0.021640	8.5	1.6	14.9
10	-0.119181	-0.119181	-0.221469	0.719216	1.540267	0.357202	1.708289	0.018994	3.6	1.6	12.7
11	-0.109331	-0.109331	-0.216151	1.709271	1.473116	0.571071	1.731669	0.023094	4.5	1.3	10.1
12	-0.125598	-0.125598	-0.238642	2.709271	1.410983	0.428588	1.361396	0.019015	2.3	1.5	7.2
13	-0.118139	-0.118139	-0.208317	3.705076	1.354110	0.355670	1.517881	0.021293	2.5	1.4	8.1
14	-0.118641	-0.118641	-0.245840	3.064979	1.390127	0.503327	1.504397	0.026162	2.7	1.6	17.5
15	-0.122341	-0.122341	-0.237026	2.424875	1.428114	0.468520	1.589035	0.027089	2.9	1.7	11.7
16	-0.126753	-0.126753	-0.234881	1.784775	1.468234	0.415692	1.690071	0.027721	2.7	1.8	10.6
17	-0.120254	-0.120254	-0.248064	1.144671	1.510674	0.630240	1.389575	0.033798	7.6	1.4	14.8
18	-0.116858	-0.116858	-0.224208	0.504567	1.555641	0.356355	1.354552	0.022855	2.5	1.3	7.2
19	-0.124586	-0.124586	-0.241168	0.000000	1.593018	0.574551	1.492562	0.027784	2.5	1.6	8.2
20	-0.138835	-0.138835	-0.253353	0.000000	1.593018	0.504190	1.225514	0.031442	8.1	1.7	14.7
21	-0.137391	-0.137391	-0.252094	0.000000	1.593018	0.619121	1.236931	0.035502	2.2	1.4	8.7
22	-0.129818	-0.129818	-0.206415	0.000000	1.593018	0.255050	1.646768	0.010365	7.7	1.6	13.8
23	-0.121631	-0.121631	-0.229640	0.000000	1.593018	0.538975	1.612562	0.024546	2.8	1.6	9.5
24	-0.127230	-0.127230	-0.242792	0.000000	1.593018	0.374393	1.190624	0.023666	2.6	1.7	9.4
25	-0.134939	-0.134939	-0.247151	0.000000	1.593018	0.505366	1.607064	0.025358	8.1	1.3	14.3
26	-0.119644	-0.119644	-0.237562	0.000000	1.593018	0.530802	1.334292	0.036659	2.8	1.5	9.2
27	-0.123087	-0.123087	-0.234466	0.000000	1.593018	0.550378	1.492531	0.024772	3.3	1.5	9.6
28	-0.139738	-0.139738	-0.252971	0.000000	1.593018	0.478018	1.243355	0.033099	9.2	2.4	16.8
29	-0.115808	-0.115808	-0.224117	0.000000	1.593018	0.522575	1.855625	0.022977	2.6	1.6	9.5
30	-0.134140	-0.134140	-0.271382	0.000000	1.593018	0.418439	1.379803	0.032684	2.7	1.6	9.7
31	-0.127106	-0.127106	-0.247995	0.000000	1.593018	0.752807	1.461173	0.030939	6.6	1.5	14.0
32	-0.134111	-0.134111	-0.268809	0.000000	1.593018	0.706596	1.245798	0.035641	3.5	1.7	10.4
33	-0.138537	-0.138537	-0.263601	0.000000	1.593018	0.211240	1.631568	0.020576	3.0	1.6	11.9
34	-0.137453	-0.137453	-0.254068	0.000000	1.593018	0.626095	1.377462	0.032288	3.3	21.9	31.0
35	-0.135549	-0.135549	-0.267046	0.000000	1.593018	0.841806	1.657626	0.047454	2.8	1.5	11.7
36	-0.133973	-0.133973	-0.258139	0.000000	1.593018	0.470378	1.568958	0.018642	2.6	1.8	11.1
37	-0.136192	-0.136192	-0.225295	0.000000	1.593018	0.525326	1.446057	0.027347	2.9	2.1	11.7
38	-0.137216	-0.137216	-0.274843	0.871794	1.529522	0.583392	1.350006	0.034348	22.8	1.7	31.6
39	-0.135532	-0.135532	-0.279022	0.231690	1.575635	0.661167	1.197113	0.040905	2.6	1.5	9.2
40	-0.132465	-0.132465	-0.270975	0.000000	1.593018	0.591959	1.028147	0.032325	2.6	1.8	9.9
41	-0.138131	-0.138131	-0.257113	0.000000	1.593018	0.673679	1.482690	0.028211	3.2	1.5	10.3
42	-0.152000	-0.152000	-0.298150	0.000000	1.593018	0.634755	1.636039	0.031272	15.2	1.6	22.3
43	-0.144884	-0.144884	-0.257306	0.000000	1.593018	0.534163	1.160497	0.021667	12.6	1.6	22.3
44	-0.129246	-0.129246	-0.233716	0.999674	1.520631	0.423713	1.106602	0.019591	3.2	2.4	11.0
45	-0.122768	-0.122768	-0.225784	1.999487	1.454528	0.711321	1.866089	0.030636	3.8	7.1	18.9
46	-0.131408	-0.131408	-0.248687	1.359688	1.496147	0.529039	1.540402	0.020122	2.8	1.5	9.7
47	-0.140624	-0.140624	-0.256595	0.719584	1.540241	0.523570	1.390433	0.028094	3.8	1.5	12.8
48	-0.129246	-0.129246	-0.262431	1.107556	1.513211	0.471750	1.569146	0.018874	20.3	1.6	28.9
