1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
847	-0.195223	-0.195223	-0.363139	42.977063	0.063062	3.356269	2.118159	0.137503	3.7	1.9	11.3
848	-0.225492	-0.225492	-0.381832	42.072046	0.063966	2.391537	2.205039	0.135803	3.3	1.9	11.3
849	-0.234306	-0.234306	-0.395235	43.072039	0.062968	1.943414	1.632599	0.080738	13.1	1.8	20.9
850	-0.222064	-0.222064	-0.398851	42.172809	0.063864	3.860336	1.821978	0.181604	3.1	1.6	10.7
851	-0.235072	-0.235072	-0.411943	41.603226	0.064446	2.771282	1.598709	0.168827	3.6	1.7	12.6
852	-0.211291	-0.211291	-0.350750	42.603226	0.063432	2.537512	1.011022	0.133103	12.1	1.8	20.3
853	-0.218456	-0.218456	-0.377840	42.171913	0.063865	3.847698	1.884038	0.190485	3.4	1.8	11.1
854	-0.216569	-0.216569	-0.397205	42.345705	0.063690	2.704009	1.526308	0.171110	3.6	1.6	10.8
855	-0.223434	-0.223434	-0.386034	41.440585	0.064613	3.128956	2.258595	0.134469	3.4	12.8	22.1
856	-0.237989	-0.237989	-0.388329	42.436431	0.063599	2.198774	2.730490	0.085588	4.2	1.9	12.2
857	-0.223473	-0.223473	-0.389522	41.531310	0.064520	1.746373	2.812690	0.109436	3.5	2.0	11.2
858	-0.230037	-0.230037	-0.392413	40.679564	0.065411	2.741005	1.694636	0.153115	3.7	16.5	25.8
859	-0.233243	-0.233243	-0.409943	41.679564	0.064367	3.509376	2.492643	0.186390	4.8	1.8	15.9
860	-0.217765	-0.217765	-0.362024	40.774444	0.065310	2.620072	1.874059	0.103381	3.8	3.2	16.7
861	-0.225607	-0.225607	-0.395200	39.869323	0.066281	2.492202	2.605234	0.126476	3.9	1.8	13.1
862	-0.219217	-0.219217	-0.386739	40.746029	0.065340	2.052282	1.337117	0.111454	12.6	5.4	26.5
863	-0.220474	-0.220474	-0.387630	41.746029	0.064299	1.849021	3.055844	0.073578	11.4	1.7	18.9
864	-0.235030	-0.235030	-0.388991	40.861609	0.065218	3.280231	1.768704	0.181035	3.3	1.7	12.3
865	-0.219682	-0.219682	-0.408379	40.020128	0.066117	1.816368	2.072886	0.088969	12.6	2.1	21.5
866	-0.208860	-0.208860	-0.385513	41.017418	0.065054	2.258470	2.196938	0.089717	3.4	1.7	10.7
867	-0.197933	-0.197933	-0.347932	40.286164	0.065830	3.201729	2.454292	0.166002	4.9	7.7	21.7
