1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.187957	-0.187957	-0.322384	0.000000	0.817849	1.190730	1.757992	0.051363	4.0	3.2	969.4
1	-0.173930	-0.173930	-0.313979	0.000000	0.817849	1.196728	2.446425	0.054920	10.4	2.1	17.8
2	-0.175420	-0.175420	-0.333480	1.000000	0.780674	1.098533	2.206379	0.045820	4.5	3.8	15.7
3	-0.169551	-0.169551	-0.325813	0.238108	0.808680	0.564917	1.735609	0.027863	16.8	1.8	27.0
4	-0.173293	-0.173293	-0.330398	0.000000	0.817849	0.728795	1.462718	0.031760	3.8	1.5	11.1
5	-0.167972	-0.167972	-0.298196	0.087029	0.814473	0.568753	2.218311	0.034174	13.1	1.9	20.1
6	-0.180353	-0.180353	-0.327942	0.000000	0.817849	0.737704	1.863373	0.044746	3.1	1.5	9.7
7	-0.170868	-0.170868	-0.307386	0.000000	0.817849	0.662643	1.687589	0.029170	3.5	1.5	9.5
8	-0.176575	-0.176575	-0.327483	0.000000	0.817849	0.839776	1.723543	0.043026	21.6	1.8	28.3
9	-0.184366	-0.184366	-0.314781	0.000000	0.817849	0.808390	2.092516	0.048345	2.8	1.6	11.6
10	-0.175631	-0.175631	-0.332132	0.000000	0.817849	1.180519	2.042953	0.053108	3.3	7.2	15.2
11	-0.169018	-0.169018	-0.310918	0.000000	0.817849	0.879529	2.035559	0.041244	3.3	1.7	10.0
12	-0.175817	-0.175817	-0.334017	0.000000	0.817849	0.657692	1.807181	0.027699	3.6	1.6	10.0
13	-0.177645	-0.177645	-0.330709	0.000000	0.817849	0.748397	1.915569	0.033864	3.0	7.4	17.5
14	-0.173554	-0.173554	-0.324696	0.866755	0.785431	1.228642	1.503797	0.052012	3.9	2.1	10.8
15	-0.180298	-0.180298	-0.310929	1.866755	0.751083	0.883929	1.751408	0.043105	8.7	1.7	15.2
16	-0.177854	-0.177854	-0.348221	1.105447	0.776950	1.539871	1.515868	0.072664	2.9	1.5	9.5
17	-0.186622	-0.186622	-0.341421	1.978071	0.747444	1.237909	2.103757	0.052607	2.7	1.7	9.3
18	-0.174082	-0.174082	-0.321541	2.978071	0.716272	1.231004	1.409538	0.049842	9.1	1.6	16.0
19	-0.172711	-0.172711	-0.329121	2.216151	0.739779	1.258589	1.923666	0.059862	2.9	7.9	16.7
20	-0.176929	-0.176929	-0.325253	1.454231	0.764881	0.999912	1.663648	0.057625	3.2	1.6	11.6
21	-0.172116	-0.172116	-0.296935	2.454219	0.732270	1.264829	1.755977	0.058056	3.3	1.6	10.3
22	-0.181504	-0.181504	-0.339220	1.692299	0.756857	0.878615	1.299795	0.048524	6.4	1.6	13.5
23	-0.171552	-0.171552	-0.308057	0.930380	0.783152	0.701287	1.951011	0.031838	4.9	1.9	12.9
24	-0.167540	-0.167540	-0.323572	0.168460	0.811340	0.978628	1.423302	0.041303	5.6	2.2	13.9
25	-0.169206	-0.169206	-0.337720	0.000000	0.817849	0.673099	1.499244	0.031605	17.8	1.7	26.6
26	-0.185744	-0.185744	-0.336581	0.000000	0.817849	0.989726	1.659511	0.041211	2.6	2.5	10.8
27	-0.160481	-0.160481	-0.309275	0.000000	0.817849	0.539457	2.086592	0.041286	3.6	1.9	10.9
28	-0.194809	-0.194809	-0.351677	0.999654	0.780686	0.970603	1.242860	0.047147	8.8	1.8	17.2
29	-0.171102	-0.171102	-0.325808	0.237734	0.808694	0.766865	1.801200	0.038548	2.9	1.6	9.8
30	-0.166589	-0.166589	-0.324519	0.568115	0.796306	0.719683	1.223126	0.037155	3.3	7.4	15.9
31	-0.185011	-0.185011	-0.347818	0.000000	0.817849	0.555390	1.060637	0.035896	3.9	2.2	13.7
32	-0.182519	-0.182519	-0.335871	0.000000	0.817849	0.807464	1.379056	0.034216	6.2	1.7	12.7
